Date,Close,High,Low,Open,Volume
2016-10-13 19:07:00,117.1707,117.19,117.16,117.164,49993
2016-10-13 19:08:00,117.2257,117.23,117.17,117.18,68466
2016-10-13 19:09:00,117.22,117.23,117.2,117.225,61111
2016-10-13 19:10:00,117.2442,117.25,117.22,117.22,59317
2016-10-13 19:11:00,117.2959,117.3,117.2421,117.2474,152097
2016-10-13 19:12:00,117.2904,117.33,117.29,117.29,91512
2016-10-13 19:13:00,117.335,117.34,117.27,117.2901,68697
2016-10-13 19:14:00,117.41,117.43,117.3338,117.336,149568
2016-10-13 19:15:00,117.34,117.44,117.33,117.41,79419
2016-10-13 19:16:00,117.3,117.34,117.3,117.3399,66750
2016-10-13 19:17:00,117.25,117.33,117.24,117.3,58286
2016-10-13 19:18:00,117.29,117.295,117.23,117.24,39792
2016-10-13 19:19:00,117.2401,117.29,117.2399,117.28,38115
2016-10-13 19:20:00,117.2,117.245,117.1907,117.2435,45494
2016-10-13 19:21:00,117.21,117.23,117.1938,117.195,25793
2016-10-13 19:22:00,117.15,117.2153,117.12,117.2153,144198
2016-10-13 19:23:00,117.2,117.2142,117.16,117.16,36435
2016-10-13 19:24:00,117.18,117.2,117.17,117.195,25996
